date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:44	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2029%20Oct%202021%2015:06:43%20GMT	https://upload-otree-test4.herokuapp.com/InitializeParticipant/gmran3aq	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/InitializeParticipant/gmran3aq.0.delayed	(from )
11:06:45	35612/35612	---M--	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2015:06:44%20GMT	https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5.html	(from )
11:06:47	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2029%20Oct%202021%2015:06:45%20GMT	https://upload-otree-test4.herokuapp.com/robots.txt		(from )
11:06:48	155637/155637	---M--	200	added ('OK')	text/css	etag:407d4fecb0a5a0142351713f0341a880	https://upload-otree-test4.herokuapp.com/static/bootstrap5/css/bootstrap.min.css	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/bootstrap5/css/bootstrap.min.css	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:48	2015/2015	---M--	200	added ('OK')	text/css	etag:3267ac732e4215631b1432742aaa1348	https://upload-otree-test4.herokuapp.com/static/otree/css/theme.css	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/css/theme.css	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:50	86663/86663	---M--	200	added ('OK')	application/javascript	etag:4005d2dd7b4671312a77c4522cf5a22c	https://upload-otree-test4.herokuapp.com/static/otree/js/jquery-3.2.1.min.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/js/jquery-3.2.1.min.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:50	504/504	---M--	200	added ('OK')	application/javascript	etag:45042536e8e2770a055d266b90e795f0	https://upload-otree-test4.herokuapp.com/static/otree/js/internet-explorer.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/js/internet-explorer.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:51	8729/8729	---M--	200	added ('OK')	application/javascript	etag:74d09742fab1b7147411cc6f086cf30a	https://upload-otree-test4.herokuapp.com/static/otree/js/reconnecting-websocket-iife.min.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/js/reconnecting-websocket-iife.min.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:53	78754/78754	---M--	200	added ('OK')	application/javascript	etag:8c1e28d18991409b58db776f460d0d3f	https://upload-otree-test4.herokuapp.com/static/bootstrap5/js/bootstrap.bundle.min.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/bootstrap5/js/bootstrap.bundle.min.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:53	2380/2380	---M--	200	added ('OK')	application/javascript	etag:b5a45782d90fe7da36e44f7dc1e94e4c	https://upload-otree-test4.herokuapp.com/static/otree/js/common.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/js/common.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
11:06:54	967/967	---M--	200	added ('OK')	application/javascript	etag:0675c70d2e7ca47e4186379991ccbb9c	https://upload-otree-test4.herokuapp.com/static/otree/js/page-websocket-redirect.js	/Users/williamhickman/websites/test/upload-otree-test4.herokuapp.com/static/otree/js/page-websocket-redirect.js	(from https://upload-otree-test4.herokuapp.com/p/gmran3aq/projectd/Task1b/5)
